Time (s), Cell Name, Value
20.47454, C027, 352.1254
57.86936, C027, 545.3644
73.78843999999999, C027, 377.1536
90.75878, C027, 1159.325
91.91016, C027, 656.9896
92.16046, C027, 454.5135
101.52168, C027, 369.1106
115.03788, C027, 591.6844
138.11554, C027, 495.0381
216.96004, C027, 344.514
217.21034, C027, 1968.151
232.07816, C027, 699.8828
241.63962, C027, 471.2302
245.14382, C027, 1349.886
246.39532, C027, 1024.12
246.64562, C027, 1079.169
259.11056, C027, 850.9678
303.3636, C027, 2104.371
304.8654, C027, 433.5284
305.21582, C027, 416.2747
305.81654, C027, 745.7283
40.5486, C028, 1318.913
41.0492, C028, 433.5975
41.34956, C028, 1262.254
43.85256, C028, 2205.108
103.67426, C028, 341.1635
182.41864, C028, 1116.583
184.12068, C028, 1480.987
185.17194, C028, 423.9819
185.27206, C028, 431.3979
185.62248, C028, 437.9352
214.2568, C028, 479.5417
282.23828, C028, 771.8191
283.18942, C028, 364.6694
294.6031, C028, 381.6034
294.90346, C028, 404.0781
295.25388, C028, 774.0375
297.80694, C028, 1212.57
308.82014, C028, 942.1583
309.22062, C028, 383.992
310.02158, C028, 1755.129
311.32314, C028, 1672.047
312.57464, C028, 1896.973
40.64872, C029, 1532.74
40.89902, C029, 1224.107
99.41916000000001, C029, 1593.929
112.3847, C029, 1054.52
113.43596, C029, 825.8171
115.03788, C029, 609.8385
116.3895, C029, 1564.406
137.31458, C029, 1183.925
137.81518, C029, 1078.205
139.51722, C029, 2123.802
140.26812, C029, 1847.34
141.46956, C029, 979.7633
141.81998, C029, 905.0605
143.57208, C029, 1852.946
144.52322, C029, 487.399
144.77352, C029, 1342.001
145.62454, C029, 1901.678
147.07628, C029, 2528.493
149.77952, C029, 1129.86
151.4315, C029, 1348.646
157.1884, C029, 1519.533
160.99296, C029, 471.0112
174.75946, C029, 888.9113
182.51876, C029, 479.0177
182.91924, C029, 681.643
227.12222, C029, 556.9064
247.64682, C029, 1172.444
248.39772, C029, 1471.138
272.47658, C029, 833.3525
274.02844, C029, 571.3185
275.17982, C029, 1178.938
277.23228, C029, 840.739
281.98798, C029, 482.5135
282.23828, C029, 1626.208
295.20382, C029, 1213.869
308.8702, C029, 1042.065
312.97512, C029, 498.1768
5.40648, C030, 676.3125
5.85702, C030, 381.0061
6.0072, C030, 1577.373
7.0084, C030, 363.9229
7.15858, C030, 1060.756
9.06086, C030, 1828.562
